SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,WB01 011 3600 US,WB01 011 3605 US,WB02 011 3610 US,WB03 011 3600 US,WB03 011 3610 US,WB03 011 3611 US,WB04 011 3600 US,WB04 011 3607 US,WB04 011 3605 US,WB04 011 3610 US,WB04 011 3615 US,WB05 011 3600 US,WB05 011 3605 US,WB05 011 3610 US,WB05 011 3616 US,WB05 011 3615 US,WA81 011 8400 US,WA81 011 8410 US,WA81 011 8420 US,WA04 011 8600 US,WA04 011 8610 US,WA04 011 8620 US,RequiredModel1,RequiredSKU1,RequiredQty1,RequiredDescription1,RequiredModel2,RequiredSKU2,RequiredQty2,RequiredDescription2
4243 740 5010 US,"HL-KM Straight Hedge Trimmer - 24"" ",T,0,T,0,STIHL,Attachments,,T,T,T,,,"HL-KM Straight Hedge Trimmer - 24"" ",215.99,,, ,0,1,T,,,,,,,,934,,Attachment,KombiSystem,T,,T,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , ,, , , ,
4601 740 4900 US,KW-KM PowerSweep,T,0,T,0,STIHL,Attachments,,T,T,T,,,KW-KM PowerSweep,379.99,,, ,0,1,T,,,,,,,,948,,Attachment,KombiSystem,T,,T,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , ,, , , ,
4601 740 4901 US,KB-KM Bristle Brush,T,0,T,0,STIHL,Attachments,,T,T,T,,,KB-KM Bristle Brush,319.99,,, ,0,1,T,,,,,,,,949,,Attachment,KombiSystem,T,,T,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , ,, , , ,
4601 740 5001 US,BF-KM Mini-Culitvator,T,0,T,0,STIHL,Attachments,,T,T,T,,,BF-KM Mini-Culitvator,224.99,,, ,0,1,T,,,,,,,,950,,Attachment,KombiSystem,T,,T,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , ,, , , ,
4606 740 5001 US,BG-KM Blower,T,0,T,0,STIHL,Attachments,,T,T,T,,,BG-KM Blower,159.99,,, ,0,0,T,,,,,,,,951,,Attachment,KombiSystem,T,,T,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , ,, , , ,
FA03 200 0021 US,FSS-KM Hi-Torque Trimmer Attachment,T,0,T,0,STIHL,Attachments,,T,T,T,,,FSS-KM Hi-Torque Trimmer Attachment,129.99,,, ,0,1,T,,,,,,,,960,,Attachment,KombiSystem,T,,T,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , ,, , , ,
WA00 007 1000,"Mulching Kit (48"" Deck)",T,100,T,1,STIHL,Attachments,,T,T,T,,,"Mulching Kit (48"" Deck)",213.99,,, ,0,0,T,,,,,,,,892,,Attachment,Attachment,T,,F,,,,,,,,,,,, , , , , , , , , , , , , , , , ,T, , ,T, , , , , ,, , , ,
WA00 007 1005,"Mulching Kit (52"" Deck)",T,100,T,1,STIHL,Attachments,,T,T,T,,,"Mulching Kit (52"" Deck)",235.99,,, ,0,0,T,,,,,,,,894,,Attachment,Attachment,T,,F,,,,,,,,,,,, , , , , , , , , , , , , , , , , ,T, , ,T, , , , ,, , , ,
WA00 007 1011,"Mulching Kit (60"" Deck)",T,100,T,1,STIHL,Attachments,,T,T,T,,,"Mulching Kit (60"" Deck)",256.99,,, ,0,0,T,,,,,,,,897,,Attachment,Attachment,T,,F,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , ,, , , ,
WA00 007 1030,"Striping Kit (48"" / 52"" Deck)",T,100,T,1,STIHL,Attachments,,T,T,T,,,"Striping Kit (48"" / 52"" Deck)",213.99,,, ,0,0,T,,,,,,,,898,,Attachment,Attachment,T,,F,,,,,,,,,,,, , , , , , , , , , , , , , , , ,T, , , , , , , , ,, , , ,
