SKU,StihlID,Model,DefaultPackage,Name,BladeSize,MSRP,SalePrice,ToolOnlyPriceMSRP,ToolOnlySalePrice,SpecialText,SaleEndDate,Category,SubCategory,Tags,Series,System,RecommendedBatteryCount,Type,Builder,ComponentType,KitBattery,KitBatteryQty,KitCharger,KitChargerQty,RecommendedBattery,StandardCharger,RapidCharger,HighSpeedCharger,MultiCharger,Active,Featured,SortOrder,ToolWeight,Spec3Label,Spec3Value,Spec2Label,Spec2Value,Spec1Label,Spec1Value,AS2,AS2RunTimeLow,AS2RunTimeHigh,AS2CutsPerCharge,AS2CutMaterial,AK10,AK10RunTimeLow,AK10RunTimeHigh,AK10CutsPerCharge,AK10CutMaterial,AK20,AK20RunTimeLow,AK20RunTimeHigh,AK20CutsPerCharge,AK20CutMaterial,AK30,AK30RunTimeLow,AK30RunTimeHigh,AK30CutsPerCharge,AK30CutMaterial,AK30S,AK30SRunTimeLow,AK30SRunTimeHigh,AK30SCutsPerCharge,AK30SCutMaterial,AP200S,AP200SRunTimeLow,AP200SRunTimeHigh,AP200SCutsPerCharge,AP200SCutMaterial,AP300S,AP300SRunTimeLow,AP300SRunTimeHigh,AP300SCutsPerCharge,AP300SCutMaterial,AP500S,AP500SRunTimeLow,AP500SRunTimeHigh,AP500SCutsPerCharge,AP500SCutMaterial,AR2000L,AR2000LRunTimeLow,AR2000LRunTimeHigh,AR2000LCutsPerCharge,AR2000LCutMaterial,AR3000L,AR3000LRunTimeLow,AR3000LRunTimeHigh,AR3000LCutsPerCharge,AR3000LCutMaterial,Spec4Label,Spec4Value,AL1,AL5,AL5-2,AL101,AL301,AL501,AL301-4,WeightAS2,WeightAK10,WeightAK20,WeightAK30,WeightAK30S,WeightAP200S,WeightAP300S,WeightAP500S,WeightAR2000L,WeightAR3000L,PDF,Video,Badge,WarrantyConsumer,WarrantyProfessional,PromoTitle,PromoDescription,PromoItem,PromoItemQty,PromoEndDate,PromoAppliesTo,PromoValue,ImageURL,ProductURL,InventoryURL
FSA57_AK10_AL101_KIT,4522 011 5771 US,FSA57 Set,AK10_AL101,STIHL FSA57 w/AK10 Battery & AL101 Charger, ,219.99,189.99,179.99,179.99, ,"June 30, 2026",Trimmers,String Trimmer, ,AK Series,AK,1,Trimmer,Battery,Kit,AK10,1,AL101,1,AK10,AL101,AL301,AL501,,T,T,511,5.9,,,,,,,T,25,50,,,T,25,50,,,T,50,100,,,T,60,120,,,T,60,120,,,F,,,,,F,,,,,F,,,,,F, , ,,,F, , ,,,,,F,F,F,T,T,T,F,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AK Series,5 Years,3 Years,,,,,,,,https://cdnmedia.endeavorsuite.com/images/ThumbGenerator/Thumb.aspx?img=http%3a%2f%2fcdnmedia.endeavorsuite.com%2fimages%2fcatalogs%2f25264%2fproducts%2fdetail%2f7771e9a4-355b-4514-ac59-b3943935977c.jpg&mw=550&mh=370&f=1&fz=1, ,  
FSA57_AK20_AL101_KIT,4522 011 5773 US,FSA57 Set,AK20_AL101,STIHL FSA57 w/AK20 Battery & AL101 Charger, ,249.99,219.99,179.99,179.99, ,"June 30, 2026",Trimmers,String Trimmer, ,AK Series,AK,1,Trimmer,Battery,Kit,AK20,1,AL101,1,AK20,AL101,AL301,AL501,,T,T,512,5.9,,,,,,,T,25,50,,,T,25,50,,,T,50,100,,,T,60,120,,,T,60,120,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,,,F,F,F,T,T,T,F,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AK Series,5 Years,3 Years,,,,,,,,https://cdnmedia.endeavorsuite.com/images/ThumbGenerator/Thumb.aspx?img=http%3a%2f%2fcdnmedia.endeavorsuite.com%2fimages%2fcatalogs%2f25264%2fproducts%2fdetail%2fe669f147-451f-4315-a7d9-e0ec51b224d2.jpg&mw=550&mh=370&f=1&fz=1, ,  
FSA60R_TOOL,FA04 011 5701 US,FSA60R,Tool Only,STIHL FSA60R Trimmer,,269.99,,269.99,269.99,,,Trimmers,String Trimmer,,AK Series,AK,1,Trimmer,Battery,Tool Only,,,,,AK20,AL101,AL301,AL501,,T,F,515,6.9,,,,,,,T,13,25,,,T,13,25,,,T,30,60,,,T,38,80,,,T,38,80,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,,,F,F,F,T,T,T,F,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AK Series,5 Years,3 Years,,,,,,,,,,
FSA60R_AK20_AL101_KIT,FA04 011 5741 US,FSA60R Set,AK20_AL101,STIHL FSA60R w/AK20 Battery & AL101 Charger,,359.99,,269.99,269.99,,,Trimmers,String Trimmer,,AK Series,AK,1,Trimmer,Battery,Kit,AK20,1,AL101,1,AK20,AL101,AL301,AL501,,T,T,516,6.9,,,,,,,F,,,,,T,13,25,,,T,30,60,,,T,38,80,,,T,38,80,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,,,F,F,F,T,T,T,F,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AK Series,5 Years,3 Years,,,,,,,,,,
FSA80R_TOOL,FA08 011 5721 US,FSA60R,Tool Only,STIHL FSA80.0R Trimmer,,389.99,,389.99,389.99,,,Trimmers,String Trimmer,,AK Series,AK,1,Trimmer,Battery,Tool Only,,,,,AK20,AL101,AL301,AL501,,T,F,520,9.0,,,,,,,F,,,,,T,8,12,,,T,15,25,,,T,20,30,,,T,20,30,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,,,F,F,F,T,T,T,F,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AK Series,5 Years,3 Years,,,,,,,,,,
FSA80R_AK20_AL101_KIT,FA08 011 5731 US,FSA60R Set,AK20_AL101,STIHL FSA80.0R w/AK20 Battery & AL101,,469.99,,389.99,389.99,,,Trimmers,String Trimmer,,AK Series,AK,1,Trimmer,Battery,Kit,AK20,1,AL101,1,AK20,AL101,AL301,AL501,,T,T,521,9.0,,,,,,,F,,,,,T,8,12,,,T,15,25,,,T,20,30,,,T,20,30,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,,,F,F,F,T,T,T,F,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AK Series,5 Years,3 Years,,,,,,,,,,
FSA120R_TOOL,FA08 200 0006 US,FSA120R,Tool Only,STIHL FSA120.0R Trimmer ,,409.99,,409.99,409.99,,,Trimmers,String Trimmer,,AP Series,AP,1,Trimmer,Battery,Tool Only,,,,,AP200S,AL101,AL301,AL501,AL301-4,T,F,525,9.5,,,,,,,F, , ,,,F, , ,,,F,,,,,F,,,,,F,,,,,T,20,30,,,T,30,50,,,T,35,60,,,T,130,210,,,T,190,320,,,,,F,F,F,T,T,T,T,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AP Series,5 Years,3 Years,Free AP300S Battery,Purchase a qualifying AP Series tool or set and receive a free AP 300 S battery after registration.,AP300S,1,"June 30, 2026",AP Series,320.99,,,
FSA120R_AP200S_AL301_KIT,FA08 011 5772 US,FSA120R Set,AP200S_AL301,STIHL FSA120.0R w/AP200S Battery & AL301,,779.99,,409.99,409.99,,,Trimmers,String Trimmer,,AP Series,AP,1,Trimmer,Battery,Kit,AP200S,1,AL301,1,AP200S,AL101,AL301,AL501,AL301-4,T,T,526,9.5,,,,,,,F, , ,,,F, , ,,,F,,,,,F,,,,,F,,,,,T,20,30,,,T,30,50,,,T,35,60,,,T,130,210,,,T,190,320,,,,,F,F,F,T,T,T,T,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AP Series,5 Years,3 Years,Free AP300S Battery,Purchase a qualifying AP Series tool or set and receive a free AP 300 S battery after registration.,AP300S,1,"June 30, 2026",AP Series,320.99,,,
FSA135R_TOOL,FA01 200 0011 US,FSA135R,Tool Only,STIHL FSA135R Trimmer ,,529.99,,529.99,529.99,,,Trimmers,String Trimmer,,AP Series,AP,1,Trimmer,Battery,Tool Only, ,, ,,AP300S,AL101,AL301,AL501,AL301-4,T,F,530,9.5,,,,,,,F, , ,,,F, , ,,,F,,,,,F,,,,,F,,,,,T,17,28,,,T,25,45,,,T,30,54,,,T,96,170,,,T,138,234,,,,,F,F,F,T,T,T,T,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AP Series,5 Years,3 Years,Free AP300S Battery,Purchase a qualifying AP Series tool or set and receive a free AP 300 S battery after registration.,AP300S,1,"June 30, 2026",AP Series,320.99,,,
HSA30_TOOL,HA08 011 3502 US,HSA30,Tool Only,"STIHL HSA30.0 - 18"" Hedge Trimmer ",,139.99,,139.99,139.99,,,Hedge Trimmer,Hedge Trimmer,,AS Series,AS,1,Hedge Trimmer,Battery,Tool Only,,,,,AS2,AL1,AL5, ,AL5-2,T,F,810,4.5,,,,,,,T,50,50,,,F, , ,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,,,T,T,T,F,F,F,F,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AS Series,5 Years,3 Years,,,,,,,,,,
HSA30_AS2_AL1_KIT,HA08 011 3509 US,HSA30 Set,AS2_AL1,"STIHL HSA30.0 - 18"" w/AS2 Battery & AL1 Charger",,189.99,,139.99,139.99,,,Hedge Trimmer,Hedge Trimmer,,AS Series,AS,1,Hedge Trimmer,Battery,Kit,AS2,1,AL1,1,AS2,AL1,AL5, ,AL5-2,T,T,811,4.5,,,,,,,T,50,50,,,F, , ,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,,,T,T,T,F,F,F,F,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AS Series,5 Years,3 Years,,,,,,,,,,
HSA40_TOOL,HA08 011 3522 US,HSA40,Tool Only,"STIHL HSA40.0 - 20"" Hedge Trimmer",,199.99,,199.99,199.99,,,Hedge Trimmer,Hedge Trimmer,,AS Series,AS,1,Hedge Trimmer,Battery,Tool Only,,,,,AS2,AL1,AL5, ,AL5-2,T,F,815,4.6,,,,,,,T,50,50,,,F, , ,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,,,T,T,T,F,F,F,F,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AS Series,5 Years,3 Years,,,,,,,,,,
HSA40_AS2_AL1_KIT,HA08 011 3529 US,HSA40 Set,AS2_AL1,"STIHL HSA40.0 - 20"" w/2 - AS2 Batteries & AL1",,229.99,,199.99,199.99,,,Hedge Trimmer,Hedge Trimmer,,AS Series,AS,1,Hedge Trimmer,Battery,Kit,AS2,2,AL1,1,AS2,AL1,AL5, ,AL5-2,T,T,816,4.6,,,,,,,T,40,40,,,F, , ,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,,,T,T,T,F,F,F,F,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AS Series,5 Years,3 Years,,,,,,,,,,
HSA50,4521 011 3561 US,HSA50,Tool Only,"STIHL HSA50.1 - 20"" Hedge Trimmer",,239.99,,239.99,239.99,,,Hedge Trimmer,Hedge Trimmer,,AK Series,AK,1,Hedge Trimmer,Battery,Tool Only,,,,,AK10,AL101,AL301,AL501,,T,F,820,6.4,,,,,,,F,,,,,T,50,50,,,T,100,100,,,T,120,120,,,T,120,120,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,,,F,F,F,T,T,T,F,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AK Series,5 Years,3 Years,,,,,,,,,,
HSA50_AK10_AL101_KIT,4521 011 3571 US,HSA50 Set,AK10_AL101,"STIHL HSA50.1 - 20"" w/AK10 Battery & AL101",,299.99,,239.99,239.99,,,Hedge Trimmer,Hedge Trimmer,,AK Series,AK,1,Hedge Trimmer,Battery,Kit,AK10,1,AL101,1,AK10,AL101,AL301,AL501,,T,T,821,6.4,,,,,,,F,,,,,T,50,50,,,T,100,100,,,T,120,120,,,T,120,120,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,,,F,F,F,T,T,T,F,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AK Series,5 Years,3 Years,,,,,,,,,,
HSA60_TOOL,HA06 011 3501 US,HSA60,Tool Only,"STIHL HSA60.0 - 24"" Hedge Trimmer",,319.99,,319.99,319.99,,,Hedge Trimmer,Hedge Trimmer,,AK Series,AK,1,Hedge Trimmer,Battery,Tool Only,,,,,AK10,AL101,AL301,AL501,,T,F,825,7.7,,,,,,,F,,,,,T,70,70,,,T,140,140,,,T,175,175,,,T,175,175,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,,,F,F,F,T,T,T,F,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AK Series,5 Years,3 Years,,,,,,,,,,
HSA60_AK10_AL101_KIT,HA06 011 3541 US,HSA60 Set,AK10_AL101,"STIHL HSA60.1 - 24"" w/AK10 Battery & AL101",,409.99,,319.99,319.99,,,Hedge Trimmer,Hedge Trimmer,,AK Series,AK,1,Hedge Trimmer,Battery,Kit,AK10,1,AL101,1,AK10,AL101,AL301,AL501,,T,T,826,7.7,,,,,,,F,,,,,T,70,70,,,T,140,140,,,T,175,175,,,T,175,175,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,,,F,F,F,T,T,T,F,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AK Series,5 Years,3 Years,,,,,,,,,,
KMA80R_TOOL,FA08 011 6801 US,KMA80R,Tool Only,STIHL KMA80.0R KombiMotor ,,239.99,,239.99,239.99,,,KombiSystem,KombiSystem,,AK Series,AK,1,KombiSystem,Battery,Tool Only,,,,,AK30S,AL101,AL301,AL501,,T,F,1150,7.5,,,,,,,F, , ,,,T, , ,,,T, , ,,,T, , ,,,T, , ,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,,,F,F,F,T,T,T,F,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AK Series,5 Years,3 Years,,,,,,,,,,
KMA80R_AK30_AL101_KIT,FA08 011 6810 US,KMA80R Set,AK30_AL101,STIHL KMA80.0R w/AK30 Battery & AL101,,379.99,,239.99,239.99,,,KombiSystem,KombiSystem,,AK Series,AK,1,KombiSystem,Battery,Kit,AK30,1,AL101,1,AK30,AL101,AL301,AL501,,T,F,1151,7.5,,,,,,,F, , ,,,T, , ,,,T, , ,,,T, , ,,,T, , ,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,,,F,F,F,T,T,T,F,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AK Series,5 Years,3 Years,,,,,,,,,,
KMA80R_AK30_AL101_FS-KM_KIT,FA08 011 6811 US,KMA80R Set,AK30_AL101,"STIHL KMA80.0R w/FS-KM, AK30 & AL101",,429.99,,239.99,239.99,,,KombiSystem,KombiSystem,,AK Series,AK,1,KombiSystem,Battery,Kit,AK30,1,AL101,1,AK30,AL101,AL301,AL501,AL301-4,T,F,1152,7.5,,,,,,,F, , ,,,T, , ,,,T, , ,,,T, , ,,,T, , ,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,,,F,F,F,T,T,T,F,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AK Series,5 Years,3 Years,,,,,,,,,,
KMA120R_TOOL,FA08 011 6821 US,KMA120R,Tool Only,STIHL KMA120.0R KombiMotor ,,359.99,,359.99,359.99,,,KombiSystem,KombiSystem,,AP Series,AP,1,KombiSystem,Battery,Tool Only,,,,,AP300S,AL101,AL301,AL501,AL301-4,T,F,1153,7.7,,,,,,,F, , ,,,F, , ,,,F, , ,,,F, , ,,,F, , ,,,T,,,,,T,,,,,T,,,,,T,,,,,T,,,,,,,F,F,F,T,T,T,T,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AP Series,5 Years,3 Years,Free AP300S Battery,Purchase a qualifying AP Series tool or set and receive a free AP 300 S battery after registration.,AP300S,1,"June 30, 2026",AP Series,320.99,,,
KMA135R_TOOL,FA02 011 6801 US,KMA135R,Tool Only,STIHL KMA135R KombiMotor ,,439.99,,439.99,439.99,,,KombiSystem,KombiSystem,,AP Series,AP,1,KombiSystem,Battery,Tool Only,,,,,AP300S,AL101,AL301,AL501,AL301-4,T,F,1154,7.5,,,,,,,F, , ,,,F, , ,,,F, , ,,,F, , ,,,F, , ,,,T,,,,,T,,,,,T,,,,,T,,,,,T,,,,,,,F,F,F,T,T,T,T,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AP Series,5 Years,3 Years,Free AP300S Battery,Purchase a qualifying AP Series tool or set and receive a free AP 300 S battery after registration.,AP300S,1,"June 30, 2026",AP Series,320.99,,,
KMA200R_TOOL,FA03 011 6801 US,KMA200R,Tool Only,STIHL KMA200R KombiMotor ,,579.99,,579.99,579.99,,,KombiSystem,KombiSystem,,AP Series,AP,1,KombiSystem,Battery,Tool Only,,,,,AP500S,AL101,AL301,AL501,AL301-4,T,F,1155,8.6,,,,,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,T,,,,,T,,,,,T,,,,,T,,,,,,,F,F,F,T,T,T,T,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AP Series,5 Years,3 Years,Free AP300S Battery,Purchase a qualifying AP Series tool or set and receive a free AP 300 S battery after registration.,AP300S,1,"June 30, 2026",AP Series,320.99,,,
